country_name,country_code,indicator_name,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.345,522.655,532.85,542.755,563.1165,572.1894,586.8519,595.2618,623.9238,636.7707,646.45050000000106,659.787,672.282,681.4722,696.088800000001,712.347599999999,706.207200000001,729.3867,742.0449,759.8031,698.1328,712.356,731.308,753.760599999999,776.3328,795.634399999999,780.343999999999,989.8418,797.9988,807.511600000001,830.364400000001,847.1682,869.4414,888.6648,910.938,928.3996,951.091399999999,977.343599999999,1000.2102,1023.3252,1046.0722,1056.532922,1066.993644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2308480.30926,1590460.25472,1669152.52344,1776922.8318,1619420.7456,1820330.805,1720198.8816,1916071.1778,1967302.0464,2377669.8354,2154591.3126,1966585.893,2168811.7608,2157154.1502,1880376.516,1903057.2894,1888647.363,2257359.882,1878461.7408,2049819.4332,6121546.36524522,6131704.48981251,6245258.73458221,6289503.66903835,6444758.97920391,6582958.58923395,6650963.94069754,6786740.38048077,7121200.96021988,7178597.97426966,7174998.33119013,7232577.68880049,7641474.29269706,7881508.18557671,8048204.5358128,8373062.45096112,8369752.8393051,8885040.55832913,9226625.86883151,9266484.25123952,9593574.59243235,9704582.22443245,9578081.41098371,9625239.85350003,9711596.95968963,9887934.58065478,10002911.6234011,10037898.137516,10107296.2905975,6810406.53248745,4286401.178688,NA,NA,NA,NA,NA
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510100,510075,458529.5,470177,509384.43,534306.6,537315.6,533250.9,529385.1,518986.2,529206.6,525544.8,523249.8,502760.04,461787.15,423744.21,378169.59,381744.69,403933.77,380717.04,509471.804004473,499968.509803706,486317.158297764,490916.572952588,503487.667920766,540536.773422825,568443.582233176,609598.176610121,642287.166488588,685452.742451885,645895.575422467,563344.458133879,656452.12867706,681610.076275527,689247.2712,701665.755208945,734659.791220704,767820.491506709,817086.684314121,855484.980093291,998316.760917061,1065283.1852,1128993.62925776,554467.957099297,618520.240868242,666891.909592588,674556.044814825,680493.529346709,695965.085789648,207287.755356934,129776.28768,NA,NA,NA,NA,NA
Africa Western and Central,AFW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862287.213,871856.0358,895086.8862,970624.9656,881161.5702,874797.9588,924837.108,998834.0268,914950.7616,1061305.9098,1166457.1428,1000793.7,1084094.0598,1045618.8396,1033404.0768,987398.7042,1008243.7026,1035320.0712,1006665.6102,1116655.3734,4388774.13747775,4725312.95099957,4901289.15858423,5020198.90383007,5154111.69064118,5103457.22379926,5202849.65315449,5185048.87019119,5134358.12821255,5008946.60022048,5113249.17057091,5126871.12020689,5105302.71993428,5451193.73266132,5586820.9937956,5824254.36119597,5816955.80336261,5787773.70691483,5809585.53888054,5763795.34339684,6051156.26686238,6212673.2793032,6295590.79733016,6414606.44087094,6563613.28321504,6718461.08582311,6949824.16074677,7051852.27895189,7214373.76789842,4975429.48978916,3173210.999048,NA,NA,NA,NA,NA
Angola,AGO,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168830,725000,779500,832584.999999999,765423.300000001,870131.4,766871.699999999,889287,932239.199999999,1168088.7,1001344.2,887644.800000001,977685.300000001,978399.300000001,802383,820819.5,809941.199999999,1045143,805698,882223.5,2415971.83973341,1288083.79964447,1717112.37177176,1232738.26649482,1351506.73304894,1975095.70120895,1422172.99795859,1159239.72997623,1244929.40275859,1229806.55325035,2232436.23969483,1213441.48061035,1255890.18244141,1296271.79816895,1324399.18335693,2391829.82389648,1381769.62213035,1431326.21036422,1811792.40066352,1512945.58119719,1924728.04370351,1578688.15451859,1570049.27815106,699549.046966133,684221.365143516,716273.096921406,720014.653780703,715976.266367539,655244.85872,455636.317410352,261625.90488,NA,NA,NA,NA,NA
Albania,ALB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88182,85873.5,86854,89703.5000000001,92583.36,95106.33,99101.67,102107.1,107777.28,111282,113648.91,114010.5,114512.85,117647.31,118691.79,116738.49,120797.58,127345.47,132923.85,135064.83,275766.238991412,177349.275504,169686.290215323,174550.589270147,205867.873286824,249834.820654824,194959.167551323,183713.519646735,177128.490475118,177525.631532383,282573.324505175,176923.651076383,175458.128563118,182276.393820971,180654.286376,266843.271710147,180194.592508882,178603.107697265,223686.854953764,171812.355027706,226617.788597559,178415.679203706,180440.597619118,58927.5725871182,59518.5658406773,59888.5621403833,59691.9473206773,58889.6395772651,58075.7848338531,37033.2425945303,21537.567088,NA,NA,NA,NA,NA
Andorra,AND,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.319182211861,412.725790211861,422.132398211861,531.540005317791,540.946613317791,550.353221317791,559.304973317791,568.255733317791,577.207485317791,586.158237317791,595.109997317791,611.450029317791,727.789068423721,744.129100423722,760.468140423721,776.808172423721,793.275260423721,909.743354980233,926.211442980233,942.679530980232,959.146618980233,960.332018980233,961.517410980232,962.701810980232,963.887202980232,965.072602980233,968.539618980232,972.006626980232,975.473642980233,678.941658980232,428.807672,NA,NA,NA,NA,NA
Netherlands Antilles,ANT,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.4,NA,NA,NA,NA,927.1,NA,NA,NA,NA,1005.2,NA,NA,NA,NA,1003.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab League states,ARB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11269430.781,11717664.936,12391335.411,13795877.247,13185394.854,12981192.996,14577954.903,14647143.492,14520069.852,14730902.628,14546060.778,12490988.187,11911554.441,11478365.898,11126749.815,11117708.637,11620144.419,11760705.162,12120304.428,12700587.936,25321661.0706162,17732012.5424739,18738022.147748802,19428248.3790346,20149534.1056412,23604780.704573,21475152.0725741,22368185.5717561,22971673.0224774,23727650.3527681,34209182.6129984,24624951.0367393,25037710.6119848,26040954.6802755,26819622.4324814,38428231.5954508,29304755.0851203,31298280.7084638,39020418.456049,31004635.1291335,40435145.3113556,31614747.0119958,32914261.5359826,10997311.0194089,10832244.5344626,10882078.2974876,11221609.609439,11488804.8980644,11754145.7183701,9291347.99546072,5192487.899592,NA,NA,NA,NA,NA
